step,track,model,dataset,Memory in Mb,Time in s,MAE,RMSE
441,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.6016800409997813,0.0,0.0
462,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.6330746250005177,0.0,0.0
483,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.6599325000006502,0.0,0.0
504,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.687323041000127,0.0,0.0
525,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.7167332080007327,0.0,0.0
546,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.7460243750010704,0.0,0.0
567,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.7737826249995123,0.0,0.0
588,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.8014349160002894,0.0,0.0
609,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.828328916000828,0.0,0.0
630,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.8553362500006187,0.0,0.0
651,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.8831598329998087,0.0,0.0
672,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.910341958000572,0.0,0.0
693,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.9367821249998088,0.0,0.0
714,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.9637374579997412,0.0,0.0
735,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.9914699159999144,0.0,0.0
756,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.018489166001018,0.0,0.0
777,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.045400125000015,0.0,0.0
798,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.072948749999341,0.0,0.0
819,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.1002370830010475,0.0,0.0
840,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.1276689160004023,0.0,0.0
861,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.155101583000942,0.0,0.0
882,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.182078375000856,0.0,0.0
903,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.2092163750003238,0.0,0.0
924,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,1.236352125000849,0.0,0.0
