step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
3180,Binary classification,CSMOTE,bananas,607.34375,0.6835578330010321,106,0.5509433962264151,
3286,Binary classification,CSMOTE,bananas,607.453125,0.7362865830000374,106,0.5517346317711503,
3392,Binary classification,CSMOTE,bananas,607.46875,0.7925625,106,0.5498231132075472,
3498,Binary classification,CSMOTE,bananas,607.46875,0.8094430000001012,106,0.5514579759862779,
3604,Binary classification,CSMOTE,bananas,607.46875,0.8754967080003553,106,0.5535516093229744,
3710,Binary classification,CSMOTE,bananas,607.46875,0.9291077500001848,106,0.5522911051212938,
3816,Binary classification,CSMOTE,bananas,607.46875,0.9916294159993412,106,0.5516247379454927,
3922,Binary classification,CSMOTE,bananas,607.46875,1.0462216249998164,106,0.5525242223355431,
4028,Binary classification,CSMOTE,bananas,607.46875,1.064144625001063,106,0.5528798411122146,
4134,Binary classification,CSMOTE,bananas,607.46875,1.1190865410007973,106,0.5529753265602322,
4240,Binary classification,CSMOTE,bananas,617.859375,1.174847165999381,106,0.5523584905660377,
4346,Binary classification,CSMOTE,bananas,646.015625,1.194393583000419,106,0.5526921306948919,
4452,Binary classification,CSMOTE,bananas,674.8125,1.2143867909999244,106,0.5530098831985625,
4558,Binary classification,CSMOTE,bananas,704.828125,1.2345211659994677,106,0.5508995173321632,
4664,Binary classification,CSMOTE,bananas,735.265625,1.2553975829996489,106,0.5497427101200686,
4770,Binary classification,CSMOTE,bananas,766.625,1.2763338750010007,106,0.5505241090146751,
4876,Binary classification,CSMOTE,bananas,798.484375,1.2975759580003796,106,0.5518867924528302,
4982,Binary classification,CSMOTE,bananas,831.828125,1.3193808750002065,106,0.5509835407466881,
5088,Binary classification,CSMOTE,bananas,865.40625,1.3404278329999215,106,0.5511006289308176,
5194,Binary classification,CSMOTE,bananas,615.921875,1.4492706660003023,106,0.5514054678475163,
5300,Binary classification,CSMOTE,bananas,615.921875,1.5077593330006491,106,0.5513207547169812,
907,Binary classification,CSMOTE,elec2,628.078125,0.083187542,907,0.5060639470782801,
1814,Binary classification,CSMOTE,elec2,626.65625,0.2046052499990764,907,0.5595369349503859,
2721,Binary classification,CSMOTE,elec2,626.703125,0.2913094169998658,907,0.5692760014700478,
3628,Binary classification,CSMOTE,elec2,626.703125,0.410511875,907,0.5749724366041896,
